,id,name,place_type,address,transport,accesible_category,wheelchair_accesibility_level,movement_accesibility_level,eye_accesibility_level,ear_accesibility_level,mental_accesibility_level,link,lat,lon
343,26,Государственное казенное учреждение Волгоградской области Центр занятости населения Октябрьского  района,центр занятости,"404321, Волгоградская область, Октябрьский район, р.п. Октябрьский, ул. Ленина, д. 42
",х,все возрастные категории,2,2,2,2,2,https://zhit-vmeste.ru/map/,47.9680076,43.6507781
344,27,Государственное казенное учреждение Волгоградской области Центр занятости населения Палласовского  района,центр занятости,"403650, Волгоградская область, 
Ольховский район, с. Ольховка, 
ул. Советская, д. 4",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,49.8560738,44.565229
345,28,Государственное казенное учреждение Волгоградской области Центр занятости населения Ольховского  района,центр занятости,"404260, Волгоградская область, Палласовский район, 
г. Палласовка, 
ул. Ильича, д. 13",х,все возрастные категории,2,2,2,2,2,https://zhit-vmeste.ru/map/,50.0510728,46.8870477
346,29,Государственное казенное учреждение Волгоградской области Центр занятости населения Руднянского  района,центр занятости,"403601, Волгоградская область, 
Руднянский район, р.п. Рудня, 
ул. Дорожная, д.9а",х,все возрастные категории,2,2,2,2,2,https://zhit-vmeste.ru/map/,50.7981199,44.5592343
347,30,Государственное казенное учреждение Волгоградской области Центр занятости населения Светлоярского  района,центр занятости,"404171, Волгоградская область, Светлоярский район,
р.п. Светлый Яр, 
ул. Спортивная,д.13",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.4743307,44.7813181
348,31,Государственное казенное учреждение Волгоградской области Центр занятости населения Среднеахтубинского  района,центр занятости,"404143, Волгоградская область, Среднеахтубинский район, р.п. Средняя Ахтуба, 
ул. Ленина, д. 65
",х,все возрастные категории,2,2,2,0,0,https://zhit-vmeste.ru/map/,48.705631,44.8601949
349,32,Государственное казенное учреждение Волгоградской области Центр занятости населения Старополтавского  района,центр занятости,"404210, Волгоградская область, Старополтавский район, село Старая Полтавка, 
ул. Центральная, д.83а",х,все возрастные категории,1,0,2,2,2,https://zhit-vmeste.ru/map/,50.4756266,46.48268299999999
350,33,Государственное казенное учреждение Волгоградской области Центр занятости населения Суровикинского  района,центр занятости,"404415, Волгоградская область, Суровикинский район, 
г. Суровикино, 
пер. Школьный, д. 7

",х,все возрастные категории,0,0,0,0,0,https://zhit-vmeste.ru/map/,48.6040264,42.839875
351,34,Государственное казенное учреждение Волгоградской области Центр занятости населения Чернышковского  района,центр занятости,"404462, Волгоградская область, Чернышковский район, 
р.п.Чернышковский, ул. Волгоградская, д.14",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.42726560000001,42.2178657
353,1,"ГБУЗ ""Волгоградский областной клинический центр медицинской реабилитации""",поликлиника,"г Михайловка, ул Обороны д.38",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,50.0614228,43.2429223
354,2,"ГБУЗ ""Волгоградский областной клинический центр медицинской реабилитации""",поликлиника,"г Волжский, пр-кт им Ленина д.97",х,все возрастные категории,2,2,2,2,2,https://zhit-vmeste.ru/map/,48.7812829,44.7550359
